age,annual_income,spending_score,online_purchase_frequency,store_visits_per_month
30.0,17868.0,26.0,6,3
30.0,18065.0,4.0,6,6
31.0,27521.0,19.0,8,3
49.0,35487.0,11.0,8,6
35.0,22172.0,17.0,10,5
25.0,14962.0,18.0,12,7
25.0,32856.0,18.0,8,2
32.0,31218.0,17.0,11,5
37.0,24549.0,13.0,11,2
40.0,25072.0,34.0,8,5
36.0,25151.0,31.0,10,7
27.0,30553.0,13.0,10,4
31.0,26868.0,29.0,9,4
42.0,32470.0,18.0,7,4
24.0,15727.0,21.0,4,7
30.0,25716.0,20.0,7,8
41.0,24370.0,16.0,7,8
44.0,28718.0,26.0,8,5
33.0,27310.0,21.0,6,5
31.0,33989.0,17.0,9,9
22.0,20703.0,12.0,8,4
40.0,30227.0,15.0,6,4
48.0,32792.0,10.0,9,4
61.0,39283.0,20.0,9,10
39.0,27591.0,13.0,5,3
34.0,31622.0,18.0,12,4
26.0,20981.0,28.0,10,4
18.0,18040.0,27.0,5,6
37.0,34224.0,20.0,6,0
59.0,29972.0,19.0,14,3
48.0,35893.0,31.0,8,6
46.0,23133.0,23.0,5,5
37.0,32600.0,18.0,12,3
39.0,39344.0,11.0,10,5
18.0,32099.0,22.0,4,3
43.0,31383.0,25.0,7,1
29.0,30043.0,16.0,10,2
28.0,22146.0,22.0,9,7
32.0,36778.0,18.0,14,5
31.0,26946.0,19.0,7,5
28.0,32522.0,5.0,8,10
35.0,22185.0,19.0,5,6
29.0,24103.0,26.0,5,3
36.0,37175.0,16.0,7,10
20.0,28263.0,20.0,9,4
33.0,37266.0,15.0,5,5
24.0,29609.0,22.0,6,5
29.0,20791.0,19.0,7,6
36.0,34460.0,14.0,5,6
19.0,27051.0,28.0,5,2
27.0,33493.0,26.0,5,5
41.0,30126.0,16.0,10,4
21.0,22284.0,23.0,9,7
53.0,30821.0,23.0,9,5
47.0,40981.0,24.0,6,2
30.0,32465.0,10.0,7,5
27.0,29712.0,26.0,11,8
37.0,35377.0,17.0,6,3
21.0,31053.0,18.0,4,2
18.0,31048.0,36.0,10,2
30.0,24542.0,22.0,10,6
34.0,31169.0,18.0,14,7
36.0,35177.0,7.0,11,4
29.0,25820.0,28.0,6,2
48.0,37122.0,12.0,10,5
20.0,29541.0,14.0,8,8
24.0,25561.0,18.0,9,3
40.0,34988.0,28.0,7,6
23.0,28566.0,25.0,12,6
23.0,33798.0,19.0,13,7
36.0,28541.0,22.0,8,4
24.0,29701.0,16.0,12,3
34.0,32468.0,21.0,7,2
28.0,31454.0,20.0,10,6
26.0,20022.0,26.0,9,1
18.0,24394.0,26.0,4,0
36.0,34647.0,23.0,5,6
23.0,29339.0,18.0,8,5
33.0,27381.0,24.0,6,4
30.0,23207.0,19.0,7,8
33.0,24601.0,14.0,5,2
34.0,19891.0,18.0,1,5
37.0,29494.0,21.0,4,4
28.0,27008.0,25.0,8,1
47.0,25167.0,19.0,4,8
18.0,29659.0,13.0,7,6
33.0,31820.0,20.0,2,4
43.0,40466.0,21.0,5,4
40.0,22441.0,21.0,11,5
25.0,35797.0,26.0,9,5
27.0,34866.0,26.0,9,7
25.0,26105.0,16.0,3,6
41.0,31016.0,16.0,12,6
28.0,27712.0,14.0,7,7
38.0,30928.0,24.0,9,9
38.0,37546.0,29.0,7,3
59.0,33028.0,18.0,13,10
38.0,32543.0,19.0,10,4
27.0,27848.0,29.0,8,2
20.0,22580.0,23.0,9,2
32.0,28958.0,23.0,8,6
34.0,36033.0,13.0,9,5
18.0,22364.0,24.0,10,5
28.0,24725.0,14.0,6,5
38.0,30631.0,13.0,12,4
30.0,25077.0,18.0,8,9
45.0,26037.0,16.0,5,7
19.0,27882.0,19.0,12,5
42.0,23172.0,11.0,11,4
44.0,25129.0,26.0,9,3
45.0,33517.0,27.0,6,5
19.0,23463.0,8.0,5,6
38.0,22011.0,26.0,12,10
28.0,26850.0,15.0,7,3
21.0,33660.0,25.0,10,10
31.0,29015.0,20.0,8,5
26.0,27677.0,20.0,5,2
44.0,30222.0,19.0,9,6
40.0,21271.0,27.0,12,4
23.0,32474.0,13.0,7,6
28.0,31917.0,24.0,9,4
31.0,27953.0,27.0,10,3
34.0,35030.0,24.0,13,5
45.0,24363.0,34.0,8,5
42.0,35640.0,17.0,7,11
36.0,30772.0,26.0,9,3
32.0,28317.0,19.0,6,5
18.0,29901.0,27.0,3,3
48.0,29464.0,20.0,5,9
31.0,36101.0,18.0,7,4
51.0,24617.0,28.0,7,4
37.0,26187.0,17.0,10,6
55.0,35182.0,12.0,6,9
41.0,27022.0,17.0,9,5
21.0,34503.0,24.0,9,3
29.0,38497.0,28.0,8,5
33.0,27991.0,21.0,4,12
26.0,33407.0,28.0,8,10
31.0,24232.0,12.0,7,3
21.0,33774.0,17.0,8,12
35.0,30997.0,18.0,10,2
37.0,32365.0,19.0,7,2
25.0,26772.0,21.0,11,4
54.0,21695.0,24.0,9,10
36.0,32516.0,17.0,7,5
27.0,19683.0,21.0,4,4
19.0,28413.0,20.0,7,6
36.0,34706.0,14.0,7,2
32.0,30959.0,19.0,8,4
43.0,39742.0,19.0,9,4
34.0,35126.0,19.0,6,5
23.0,26731.0,20.0,15,8
52.0,30137.0,20.0,7,2
39.0,29763.0,17.0,6,6
32.0,22089.0,28.0,12,2
37.0,25298.0,13.0,8,5
40.0,27196.0,16.0,10,8
21.0,19819.0,37.0,11,3
37.0,30237.0,14.0,11,6
30.0,28755.0,12.0,7,2
40.0,21636.0,24.0,11,9
28.0,32021.0,8.0,8,3
29.0,33579.0,19.0,13,8
52.0,31135.0,33.0,8,5
47.0,28380.0,11.0,8,6
18.0,32957.0,8.0,14,7
47.0,33401.0,11.0,13,4
34.0,31537.0,25.0,8,4
28.0,25877.0,27.0,10,3
25.0,31383.0,17.0,6,3
26.0,35977.0,24.0,8,6
28.0,27017.0,28.0,8,12
24.0,40490.0,31.0,9,6
21.0,27372.0,19.0,5,6
25.0,30162.0,6.0,6,6
38.0,26638.0,15.0,7,5
36.0,31116.0,17.0,9,3
41.0,21289.0,18.0,8,10
34.0,27270.0,19.0,10,5
22.0,24539.0,27.0,9,6
40.0,30677.0,28.0,13,6
25.0,34972.0,19.0,8,5
41.0,33230.0,27.0,8,5
23.0,18142.0,22.0,9,10
28.0,40210.0,20.0,9,4
31.0,31476.0,25.0,6,0
42.0,26118.0,20.0,5,5
37.0,30786.0,32.0,5,7
35.0,30881.0,11.0,7,4
54.0,26666.0,17.0,7,6
18.0,30990.0,19.0,9,5
25.0,26963.0,23.0,5,4
24.0,27978.0,28.0,10,8
18.0,26569.0,20.0,5,4
28.0,22837.0,11.0,7,5
42.0,30729.0,25.0,7,3
29.0,32926.0,25.0,8,6
32.0,32574.0,8.0,4,4
18.0,34100.0,20.0,7,7
27.0,31622.0,10.0,13,0
30.0,27336.0,16.0,8,3
41.0,34198.0,15.0,9,3
18.0,23212.0,25.0,7,4
30.0,25497.0,21.0,4,4
46.0,25179.0,12.0,11,6
31.0,35400.0,25.0,8,3
18.0,34714.0,11.0,10,2
48.0,32437.0,22.0,8,7
42.0,35360.0,15.0,8,10
44.0,25604.0,18.0,7,5
18.0,31743.0,23.0,6,7
50.0,29374.0,23.0,8,3
27.0,34234.0,28.0,14,5
30.0,29424.0,20.0,7,3
28.0,28075.0,22.0,10,5
44.0,32705.0,17.0,9,6
33.0,34381.0,21.0,5,5
40.0,26658.0,23.0,9,3
36.0,29695.0,19.0,8,3
34.0,24708.0,9.0,2,2
26.0,17510.0,22.0,6,5
53.0,31002.0,22.0,11,8
20.0,33045.0,16.0,4,5
39.0,31310.0,12.0,9,2
39.0,20252.0,29.0,1,6
47.0,28246.0,23.0,7,4
49.0,18908.0,19.0,12,4
34.0,36849.0,13.0,8,6
40.0,24570.0,15.0,9,3
53.0,36277.0,28.0,5,5
34.0,34729.0,21.0,4,9
24.0,25497.0,17.0,3,5
31.0,24336.0,23.0,5,1
22.0,31752.0,15.0,6,3
39.0,25778.0,29.0,6,7
46.0,30512.0,28.0,4,2
34.0,27586.0,17.0,8,5
19.0,21094.0,16.0,8,6
45.0,18848.0,4.0,6,7
18.0,31133.0,11.0,9,8
20.0,27192.0,12.0,7,6
33.0,27235.0,21.0,9,4
38.0,33479.0,18.0,9,7
39.0,35867.0,12.0,6,2
34.0,28637.0,18.0,8,5
53.0,28297.0,23.0,8,5
36.0,32501.0,23.0,7,5
45.0,23215.0,9.0,8,7
43.0,31116.0,19.0,7,5
22.0,32759.0,12.0,7,5
33.0,33401.0,25.0,7,5
56.0,20316.0,25.0,8,4
30.0,26193.0,15.0,7,2
28.0,25609.0,15.0,12,4
37.0,30499.0,17.0,9,6
30.0,32404.0,6.0,7,6
27.0,37484.0,22.0,8,1
30.0,27525.0,18.0,7,3
49.0,27512.0,26.0,9,3
34.0,35748.0,13.0,7,6
22.0,31483.0,16.0,11,7
20.0,36338.0,11.0,5,3
57.0,31444.0,14.0,9,4
33.0,24214.0,13.0,6,3
39.0,23334.0,26.0,8,5
27.0,22242.0,16.0,8,6
38.0,33310.0,21.0,7,8
50.0,35943.0,18.0,7,7
28.0,39247.0,12.0,5,8
40.0,34216.0,19.0,8,4
21.0,35814.0,24.0,4,7
55.0,27100.0,13.0,13,4
38.0,24218.0,25.0,8,5
31.0,34250.0,15.0,14,1
32.0,32088.0,17.0,7,6
30.0,30537.0,23.0,11,2
30.0,31937.0,16.0,6,2
18.0,31616.0,20.0,6,5
34.0,36419.0,18.0,5,1
34.0,36475.0,21.0,8,3
40.0,32721.0,6.0,8,7
30.0,34229.0,9.0,9,5
27.0,32570.0,24.0,6,6
35.0,27694.0,26.0,9,5
19.0,33783.0,15.0,5,3
36.0,23028.0,19.0,8,5
18.0,35269.0,22.0,9,7
46.0,24027.0,24.0,9,5
42.0,31429.0,8.0,6,5
26.0,25774.0,15.0,11,5
42.0,32767.0,18.0,7,2
36.0,29830.0,24.0,9,7
25.0,22026.0,35.0,8,7
18.0,32103.0,19.0,10,8
38.0,27110.0,12.0,7,10
27.0,34406.0,22.0,2,5
46.0,30007.0,28.0,11,7
35.0,31977.0,21.0,11,5
28.0,25212.0,15.0,4,8
53.0,27053.0,26.0,9,7
41.0,27707.0,24.0,9,5
18.0,34284.0,14.0,6,3
30.0,38387.0,22.0,10,3
21.0,25974.0,26.0,6,5
27.0,35384.0,27.0,8,6
34.0,19152.0,20.0,8,7
39.0,24029.0,18.0,5,6
38.0,25206.0,27.0,4,6
46.0,23237.0,13.0,6,9
41.0,22082.0,23.0,13,6
41.0,32065.0,12.0,9,4
37.0,28930.0,26.0,4,3
48.0,31897.0,18.0,11,4
32.0,33452.0,28.0,18,4
32.0,31328.0,23.0,9,6
18.0,33289.0,13.0,8,6
46.0,29652.0,29.0,7,6
34.0,24065.0,29.0,13,3
64.0,35289.0,25.0,7,7
31.0,27054.0,15.0,7,6
36.0,25322.0,18.0,6,4
40.0,29110.0,21.0,4,7
24.0,25436.0,16.0,10,7
39.0,27913.0,30.0,11,2
35.0,31720.0,21.0,9,4
32.0,31742.0,4.0,6,3
47.0,25511.0,22.0,7,6
26.0,27561.0,18.0,11,1
38.0,35372.0,20.0,6,7
50.0,32482.0,18.0,8,7
28.0,40375.0,25.0,7,6
32.0,35901.0,27.0,8,4
58.0,35721.0,22.0,5,4
40.0,23061.0,18.0,9,4
30.0,33819.0,20.0,4,5
43.0,29734.0,20.0,11,3
29.0,27245.0,15.0,11,4
19.0,30840.0,23.0,11,6
49.0,34726.0,23.0,5,2
24.0,32504.0,29.0,9,7
60.0,25608.0,28.0,6,6
30.0,33712.0,16.0,9,5
56.0,26812.0,25.0,9,2
21.0,31083.0,14.0,12,4
45.0,28483.0,24.0,10,7
40.0,28906.0,17.0,17,5
43.0,33831.0,14.0,8,4
45.0,24799.0,22.0,12,4
30.0,39726.0,4.0,8,5
22.0,20895.0,9.0,9,3
34.0,27012.0,19.0,3,7
37.0,31851.0,20.0,10,8
30.0,32922.0,18.0,7,4
38.0,29498.0,11.0,3,4
38.0,29713.0,15.0,6,3
26.0,32053.0,22.0,6,9
39.0,28845.0,23.0,8,7
32.0,36966.0,20.0,8,2
28.0,34197.0,27.0,5,2
43.0,34364.0,22.0,11,8
27.0,25169.0,16.0,4,8
30.0,29603.0,18.0,5,3
36.0,28498.0,12.0,8,5
49.0,24972.0,19.0,12,13
37.0,31801.0,27.0,6,9
40.0,27312.0,24.0,8,3
32.0,33277.0,28.0,10,4
34.0,24649.0,18.0,11,6
35.0,38595.0,28.0,6,6
38.0,25518.0,19.0,4,8
32.0,31097.0,29.0,9,3
48.0,33959.0,20.0,4,6
31.0,27147.0,24.0,7,3
18.0,34262.0,29.0,9,6
62.0,23854.0,19.0,8,7
32.0,37261.0,21.0,19,4
48.0,30071.0,28.0,7,8
49.0,27018.0,19.0,10,4
44.0,28504.0,12.0,2,2
33.0,34045.0,33.0,11,6
38.0,27078.0,17.0,14,2
22.0,26253.0,21.0,6,1
55.0,28892.0,27.0,13,2
26.0,24115.0,16.0,7,6
32.0,39103.0,14.0,7,6
36.0,27168.0,22.0,8,4
34.0,34158.0,9.0,7,5
28.0,31047.0,18.0,10,5
49.0,25077.0,21.0,12,4
45.0,29970.0,18.0,12,7
38.0,33920.0,11.0,9,9
31.0,29059.0,30.0,8,2
46.0,35966.0,21.0,7,5
30.0,35108.0,29.0,9,4
51.0,34595.0,18.0,10,12
36.0,27702.0,15.0,13,4
47.0,24601.0,22.0,6,7
34.0,26932.0,19.0,9,4
36.0,30981.0,13.0,5,6
47.0,32729.0,29.0,7,10
57.0,19142.0,16.0,7,4
51.0,29959.0,9.0,5,1
44.0,30790.0,28.0,4,3
41.0,28612.0,17.0,9,8
30.0,36456.0,16.0,12,1
38.0,32109.0,9.0,10,3
26.0,36551.0,30.0,9,4
39.0,28920.0,12.0,5,4
39.0,34687.0,20.0,4,6
18.0,38175.0,25.0,6,5
35.0,36558.0,23.0,7,5
39.0,24539.0,20.0,9,5
34.0,28732.0,10.0,10,10
39.0,28274.0,15.0,8,7
22.0,32446.0,21.0,4,7
27.0,33432.0,15.0,7,5
45.0,25806.0,21.0,10,8
35.0,30339.0,24.0,9,3
38.0,19900.0,26.0,7,5
30.0,37210.0,13.0,8,7
35.0,27438.0,33.0,5,3
18.0,30279.0,25.0,4,3
43.0,28452.0,20.0,14,6
53.0,35730.0,27.0,8,3
24.0,15812.0,34.0,10,4
26.0,29917.0,11.0,8,7
39.0,29471.0,19.0,6,6
50.0,27732.0,6.0,11,6
35.0,38631.0,21.0,5,3
23.0,25563.0,22.0,10,4
33.0,33859.0,20.0,9,3
25.0,31781.0,16.0,8,5
28.0,36308.0,8.0,11,3
32.0,26664.0,22.0,7,6
26.0,26335.0,29.0,10,3
27.0,35480.0,16.0,11,12
36.0,32127.0,23.0,9,4
37.0,22275.0,11.0,10,6
21.0,27303.0,23.0,15,5
39.0,31932.0,18.0,8,4
31.0,34189.0,15.0,5,7
42.0,26604.0,15.0,12,5
43.0,15429.0,18.0,6,2
30.0,32616.0,22.0,7,4
41.0,23898.0,12.0,11,4
27.0,19913.0,18.0,8,7
48.0,15838.0,20.0,9,4
27.0,34070.0,13.0,9,6
39.0,30643.0,31.0,10,7
33.0,28872.0,15.0,9,7
25.0,36945.0,16.0,10,4
44.0,33187.0,14.0,9,7
29.0,38082.0,31.0,9,8
18.0,23036.0,23.0,7,8
18.0,29827.0,14.0,7,1
26.0,21916.0,27.0,4,6
49.0,28853.0,21.0,3,10
48.0,28757.0,22.0,9,5
28.0,33133.0,18.0,10,4
31.0,30228.0,16.0,4,1
30.0,33117.0,22.0,4,4
22.0,33517.0,17.0,11,4
26.0,40775.0,31.0,7,7
45.0,28424.0,12.0,9,11
40.0,25295.0,29.0,6,7
38.0,31230.0,19.0,9,3
22.0,25989.0,22.0,12,7
36.0,37410.0,25.0,8,4
18.0,28584.0,16.0,8,8
43.0,27172.0,25.0,6,7
38.0,27643.0,4.0,5,6
22.0,33592.0,16.0,8,7
51.0,29211.0,14.0,12,5
18.0,26792.0,12.0,7,5
40.0,38327.0,19.0,9,5
41.0,25719.0,22.0,5,7
23.0,30178.0,24.0,7,1
35.0,33262.0,21.0,8,4
19.0,21843.0,16.0,8,11
18.0,32401.0,22.0,11,5
24.0,24724.0,21.0,13,7
29.0,34114.0,26.0,2,4
41.0,25187.0,25.0,5,4
36.0,33464.0,20.0,5,1
36.0,35529.0,15.0,10,7
25.0,34307.0,16.0,9,2
30.0,31257.0,17.0,7,1
26.0,28843.0,18.0,7,0
23.0,27118.0,22.0,9,2
29.0,37355.0,24.0,10,3
36.0,26503.0,20.0,10,4
29.0,24815.0,20.0,5,3
32.0,33327.0,21.0,11,9
42.0,26019.0,17.0,8,8
30.0,25250.0,14.0,5,4
22.0,22782.0,9.0,8,3
41.0,27585.0,16.0,8,4
38.0,29586.0,23.0,6,5
38.0,31215.0,16.0,10,6
41.0,34757.0,19.0,8,7
40.0,32634.0,23.0,10,4
35.0,29046.0,23.0,9,8
59.0,29009.0,14.0,4,3
22.0,32551.0,26.0,5,1
29.0,36363.0,27.0,7,3
45.0,30632.0,13.0,6,4
36.0,27654.0,15.0,14,3
43.0,25036.0,27.0,7,3
37.0,22774.0,19.0,4,3
49.0,33331.0,7.0,7,7
25.0,32890.0,12.0,10,1
48.0,32887.0,19.0,13,4
47.0,29357.0,13.0,8,4
23.0,37035.0,18.0,8,8
41.0,27579.0,20.0,6,4
35.0,34776.0,29.0,9,2
29.0,29806.0,18.0,5,6
18.0,26958.0,26.0,12,6
25.0,32963.0,29.0,9,7
42.0,32048.0,29.0,8,6
43.0,31785.0,22.0,6,7
33.0,30406.0,8.0,8,1
43.0,29811.0,23.0,4,12
44.0,41942.0,26.0,8,3
37.0,35921.0,20.0,5,11
28.0,33614.0,30.0,6,3
39.0,30559.0,25.0,12,5
40.0,35036.0,23.0,4,3
42.0,32590.0,27.0,5,4
44.0,30131.0,22.0,16,6
21.0,28482.0,5.0,10,6
30.0,29595.0,17.0,9,3
18.0,14148.0,27.0,10,4
42.0,31053.0,15.0,7,9
33.0,27558.0,19.0,15,7
39.0,37963.0,14.0,9,7
20.0,30097.0,31.0,8,10
49.0,24055.0,30.0,8,7
23.0,29751.0,15.0,10,6
43.0,24769.0,21.0,5,2
36.0,32367.0,16.0,9,7
33.0,31455.0,24.0,14,5
32.0,34789.0,23.0,8,4
29.0,26046.0,25.0,8,8
48.0,30170.0,22.0,8,3
35.0,23175.0,38.0,10,2
22.0,33507.0,14.0,9,6
31.0,32594.0,10.0,6,4
36.0,32479.0,18.0,8,5
44.0,30008.0,11.0,4,3
29.0,32074.0,11.0,10,7
30.0,38022.0,14.0,8,13
35.0,28575.0,14.0,6,7
44.0,30693.0,14.0,15,6
21.0,24569.0,23.0,6,4
40.0,25659.0,17.0,8,6
30.0,30489.0,19.0,3,4
32.0,35520.0,25.0,4,6
55.0,28719.0,15.0,12,7
33.0,28820.0,18.0,11,6
43.0,27966.0,22.0,10,5
42.0,27326.0,8.0,14,6
23.0,31475.0,6.0,6,7
18.0,22514.0,22.0,5,4
43.0,36405.0,23.0,9,3
24.0,26673.0,32.0,8,6
18.0,33610.0,21.0,8,10
45.0,23650.0,25.0,10,2
25.0,33344.0,19.0,6,4
27.0,33360.0,22.0,5,6
55.0,31921.0,30.0,4,1
18.0,25028.0,7.0,12,1
22.0,31248.0,22.0,7,5
30.0,24085.0,33.0,12,1
33.0,28736.0,22.0,5,7
26.0,35147.0,30.0,7,9
23.0,33984.0,16.0,10,4
50.0,30076.0,20.0,11,3
38.0,25126.0,20.0,7,5
41.0,33228.0,7.0,6,3
34.0,30097.0,13.0,10,1
38.0,18398.0,13.0,2,10
44.0,33913.0,25.0,7,2
25.0,29879.0,25.0,8,5
38.0,36012.0,22.0,6,3
42.0,24524.0,25.0,11,4
50.0,14116.0,19.0,6,3
54.0,31395.0,27.0,6,6
36.0,31458.0,20.0,5,8
46.0,21547.0,20.0,10,8
18.0,25108.0,18.0,15,4
51.0,43776.0,24.0,9,3
28.0,28472.0,17.0,6,4
33.0,33655.0,26.0,10,3
39.0,26747.0,13.0,13,8
33.0,19548.0,13.0,8,4
37.0,29149.0,24.0,6,3
51.0,28672.0,19.0,12,7
31.0,28001.0,17.0,6,10
24.0,29427.0,25.0,6,4
53.0,31321.0,16.0,10,4
40.0,29249.0,19.0,3,11
54.0,23680.0,28.0,5,4
44.0,32431.0,29.0,9,7
22.0,20253.0,29.0,10,10
41.0,19748.0,18.0,8,4
25.0,33696.0,27.0,6,4
35.0,32535.0,14.0,6,7
34.0,29713.0,15.0,7,5
19.0,23023.0,6.0,9,2
27.0,26460.0,30.0,7,6
57.0,28686.0,15.0,7,3
37.0,22021.0,19.0,12,4
33.0,26305.0,15.0,6,5
53.0,33262.0,24.0,9,6
31.0,37137.0,18.0,3,3
34.0,27903.0,12.0,8,4
45.0,33782.0,23.0,7,7
31.0,20430.0,11.0,8,5
28.0,33297.0,15.0,9,2
18.0,25980.0,7.0,6,1
26.0,31537.0,11.0,8,7
26.0,28761.0,21.0,5,4
37.0,36602.0,8.0,8,3
29.0,25628.0,11.0,3,9
57.0,33138.0,20.0,8,10
24.0,28602.0,17.0,10,5
49.0,29208.0,32.0,12,10
37.0,29081.0,31.0,6,4
43.0,25772.0,15.0,8,5
42.0,29930.0,23.0,5,6
18.0,29687.0,24.0,5,7
35.0,31206.0,16.0,7,5
32.0,30423.0,11.0,6,7
24.0,33990.0,20.0,10,2
40.0,34618.0,19.0,10,5
52.0,24747.0,17.0,10,3
18.0,34344.0,23.0,10,5
30.0,24068.0,15.0,13,4
23.0,32939.0,13.0,7,3
36.0,33099.0,21.0,7,5
32.0,20443.0,22.0,7,5
29.0,30465.0,13.0,11,5
42.0,27658.0,26.0,10,7
51.0,26206.0,9.0,10,6
62.0,36754.0,17.0,14,2
28.0,26732.0,18.0,6,3
18.0,25968.0,16.0,6,7
41.0,30378.0,17.0,3,6
51.0,33428.0,31.0,8,5
43.0,29292.0,15.0,7,1
51.0,35832.0,35.0,3,3
33.0,32655.0,23.0,6,3
29.0,19109.0,21.0,6,4
36.0,27353.0,23.0,5,7
32.0,27191.0,35.0,8,7
42.0,32397.0,14.0,5,4
45.0,16876.0,13.0,3,10
45.0,42745.0,15.0,4,5
40.0,32655.0,20.0,4,6
37.0,30744.0,10.0,6,7
43.0,35908.0,20.0,10,6
18.0,41718.0,30.0,6,2
37.0,34354.0,21.0,11,5
36.0,34744.0,18.0,7,5
37.0,30653.0,16.0,10,3
34.0,29292.0,25.0,10,2
39.0,27621.0,15.0,9,9
29.0,25869.0,31.0,6,11
46.0,26565.0,32.0,9,6
40.0,23247.0,22.0,7,5
37.0,29621.0,20.0,7,7
28.0,21577.0,26.0,8,8
43.0,30955.0,27.0,8,5
37.0,29818.0,15.0,10,3
27.0,30735.0,17.0,7,2
34.0,27389.0,12.0,5,4
41.0,45384.0,22.0,11,7
41.0,36801.0,24.0,5,5
40.0,23777.0,12.0,4,8
36.0,31164.0,17.0,5,5
45.0,26960.0,12.0,13,9
47.0,24928.0,15.0,9,4
42.0,23300.0,23.0,6,3
29.0,32161.0,16.0,10,6
24.0,26593.0,18.0,9,4
30.0,34839.0,10.0,12,3
55.0,34969.0,21.0,8,4
38.0,36870.0,20.0,9,5
56.0,25738.0,16.0,9,5
34.0,32377.0,19.0,10,4
32.0,33162.0,21.0,5,8
34.0,27629.0,15.0,11,7
34.0,26141.0,11.0,9,10
27.0,38048.0,31.0,7,5
24.0,31137.0,16.0,11,6
40.0,33180.0,19.0,5,3
46.0,25890.0,26.0,5,4
59.0,23904.0,41.0,9,3
31.0,27153.0,13.0,9,4
31.0,29380.0,23.0,3,7
27.0,24679.0,16.0,5,4
46.0,29951.0,17.0,9,6
43.0,21557.0,16.0,13,5
26.0,24400.0,13.0,5,8
26.0,33355.0,20.0,7,5
45.0,33019.0,11.0,11,4
39.0,28041.0,26.0,5,2
43.0,24911.0,20.0,6,3
26.0,24863.0,23.0,8,6
18.0,28134.0,17.0,7,6
26.0,33223.0,18.0,6,10
42.0,34641.0,22.0,9,10
56.0,27517.0,13.0,5,7
31.0,24233.0,18.0,3,6
58.0,31339.0,15.0,10,3
43.0,25882.0,15.0,9,3
21.0,27409.0,7.0,9,6
37.0,36626.0,28.0,9,5
44.0,34136.0,16.0,14,4
18.0,30790.0,27.0,7,6
41.0,23640.0,26.0,4,5
47.0,31057.0,12.0,5,6
39.0,35313.0,13.0,10,7
34.0,28122.0,35.0,7,4
33.0,36756.0,31.0,10,4
33.0,36464.0,20.0,6,3
23.0,38319.0,22.0,12,6
28.0,31526.0,16.0,6,3
31.0,32937.0,23.0,13,2
36.0,37071.0,16.0,7,3
29.0,32237.0,8.0,8,3
26.0,27494.0,12.0,8,3
43.0,27757.0,20.0,13,6
39.0,31193.0,13.0,9,13
30.0,23547.0,20.0,7,5
40.0,29284.0,14.0,5,7
30.0,35483.0,15.0,9,6
36.0,19044.0,25.0,8,2
45.0,37672.0,21.0,8,9
29.0,35612.0,20.0,8,5
23.0,27701.0,25.0,7,2
34.0,32717.0,23.0,3,5
21.0,30016.0,29.0,6,8
32.0,36150.0,17.0,9,4
32.0,34913.0,17.0,6,5
18.0,23000.0,12.0,6,2
40.0,32936.0,17.0,5,3
33.0,28972.0,26.0,12,7
47.0,30414.0,28.0,7,5
37.0,26359.0,26.0,7,4
42.0,38741.0,9.0,10,3
47.0,35200.0,26.0,10,5
34.0,26301.0,9.0,10,6
35.0,23327.0,25.0,11,8
19.0,28072.0,18.0,12,6
47.0,32173.0,24.0,9,8
34.0,31201.0,12.0,8,6
25.0,36266.0,27.0,13,4
42.0,33950.0,11.0,9,6
18.0,34848.0,16.0,7,3
31.0,31634.0,14.0,8,3
44.0,23054.0,9.0,10,6
31.0,29022.0,21.0,5,6
28.0,35300.0,31.0,13,4
31.0,29742.0,36.0,14,6
18.0,32515.0,21.0,7,6
42.0,28406.0,27.0,11,4
34.0,24851.0,21.0,6,6
32.0,29383.0,23.0,4,6
32.0,31545.0,18.0,6,4
35.0,26722.0,21.0,4,3
42.0,28821.0,23.0,13,7
34.0,25303.0,17.0,3,2
21.0,35596.0,20.0,11,3
41.0,28528.0,20.0,8,4
40.0,37264.0,25.0,7,4
37.0,37644.0,14.0,2,4
46.0,29595.0,20.0,4,6
35.0,24958.0,31.0,11,7
46.0,19571.0,27.0,6,5
49.0,22640.0,28.0,12,4
41.0,23131.0,20.0,9,4
28.0,36892.0,22.0,11,4
34.0,30579.0,26.0,9,9
47.0,31948.0,29.0,8,7
20.0,18898.0,8.0,10,5
31.0,24010.0,12.0,4,3
32.0,34435.0,28.0,6,4
26.0,31434.0,18.0,12,7
44.0,29264.0,16.0,6,7
39.0,32824.0,12.0,6,6
28.0,38179.0,17.0,12,6
41.0,28895.0,12.0,6,6
33.0,30347.0,33.0,11,5
26.0,30963.0,20.0,8,5
28.0,41961.0,20.0,10,3
39.0,19503.0,24.0,3,2
44.0,33416.0,26.0,11,5
30.0,29426.0,26.0,10,9
40.0,32834.0,26.0,7,5
51.0,26713.0,16.0,11,8
22.0,29755.0,18.0,8,10
39.0,33557.0,25.0,5,6
43.0,45565.0,17.0,4,8
34.0,34040.0,20.0,6,8
47.0,25760.0,22.0,13,6
57.0,27881.0,25.0,9,8
38.0,27733.0,9.0,14,8
33.0,21022.0,24.0,10,3
45.0,28350.0,19.0,6,4
43.0,33664.0,24.0,8,5
18.0,23629.0,25.0,7,5
35.0,35242.0,30.0,8,6
31.0,32439.0,28.0,8,7
39.0,26329.0,28.0,10,6
33.0,29292.0,29.0,9,5
34.0,37992.0,22.0,5,4
26.0,33668.0,20.0,8,4
42.0,30044.0,25.0,6,2
52.0,28812.0,24.0,13,2
